iteration,time_s,fps,collect_s,update_s,reward_per_step,value_loss,surrogate,entropy,kl,lr,std,symmetry,ep_tracking_lin_vel,ep_tracking_ang_vel,ep_lin_vel_z,ep_ang_vel_xy,ep_orientation,ep_base_height,ep_torques,ep_torque_limits,ep_dof_vel,ep_dof_acc,ep_action_rate,ep_dof_pos_limits,ep_alive,ep_hip_pos,ep_contact,ep_feet_swing_height,ep_contact_no_vel,ep_stand_still,ep_termination,ep_length_s,unstable_resets
5638,120.6,7786,2.67,0.48,0.03204,0.00194,-0.00786,5.58019,0.01099,0.00017,0.43487,0.01156,0.72481,0.43807,-0.02005,-0.02155,-0.00681,-0.00461,-0.03731,-0.00362,-0.04039,-0.02638,-0.06341,-0.0028,0.12392,-0.01612,0.2756,-0.01135,-0.0188,0.0,0.0,16.52333,0
5639,123.8,7674,2.68,0.52,0.03184,0.00113,-0.00979,5.53292,0.0132,0.00026,0.4329,0.01192,0.66013,0.41243,-0.01926,-0.01999,-0.00692,-0.00432,-0.03567,-0.0043,-0.03481,-0.02351,-0.06012,-0.00309,0.11492,-0.01523,0.25152,-0.01119,-0.01621,0.0,0.0,15.32333,0
5640,127.0,7600,2.78,0.45,0.03183,0.00551,-0.00542,5.48242,0.0154,0.00017,0.43197,0.01255,0.82699,0.5165,-0.02162,-0.02069,-0.00718,-0.00385,-0.04087,-0.00362,-0.0397,-0.02652,-0.07325,-0.00078,0.1417,-0.01604,0.25746,-0.01247,-0.01698,-0.03598,0.0,18.89333,0
5641,130.4,7270,2.9,0.48,0.02843,0.08941,-0.01119,5.47913,0.01517,0.00017,0.43277,0.01795,0.67884,0.42988,-0.02675,-0.0215,-0.00781,-0.0053,-0.03693,-0.00448,-0.03554,-0.02377,-0.06223,-0.00748,0.12019,-0.01844,0.23417,-0.012,-0.01498,-0.018,0.0,16.025,0
5642,133.4,8213,2.53,0.46,0.02268,0.06647,-0.0092,5.50274,0.01747,2e-05,0.43335,0.03178,0.59101,0.36938,-0.02131,-0.01963,-0.00734,-0.00414,-0.02983,-0.00334,-0.02999,-0.0207,-0.05238,-0.01069,0.10359,-0.01544,0.19946,-0.01013,-0.01248,-0.01863,-0.05833,13.81167,0
5643,136.6,7739,2.67,0.51,0.02617,0.05105,-0.00902,5.50927,0.01544,1e-05,0.43356,0.02332,0.42924,0.2782,-0.02329,-0.01579,-0.00861,-0.00476,-0.02525,-0.004,-0.02545,-0.01605,-0.04049,-0.01276,0.07915,-0.01384,0.15348,-0.01051,-0.01321,-0.01418,-0.09071,10.55293,0
5644,139.8,7594,2.78,0.46,0.02877,0.0319,-0.00821,5.51503,0.01008,0.00011,0.43397,0.01929,0.49929,0.317,-0.0206,-0.01732,-0.00781,-0.00454,-0.02847,-0.00377,-0.02931,-0.01837,-0.04646,-0.0062,0.09024,-0.01625,0.184,-0.0097,-0.01414,-0.01548,-0.02963,12.03222,0
5645,143.2,7210,2.86,0.55,0.02976,0.01158,-0.00824,5.52809,0.01601,3e-05,0.43434,0.01715,0.38903,0.25093,-0.01781,-0.01576,-0.00772,-0.00427,-0.02205,-0.00375,-0.02086,-0.0132,-0.03589,-0.00933,0.07051,-0.01134,0.14973,-0.01303,-0.01175,0.0,-0.07778,9.40111,0
5646,146.5,7391,2.8,0.52,0.03093,0.00779,-0.00752,5.53127,0.01053,0.00011,0.43438,0.01436,0.39924,0.25368,-0.01703,-0.01322,-0.00579,-0.00428,-0.02254,-0.00289,-0.02135,-0.01356,-0.03619,-0.00647,0.07141,-0.01133,0.14419,-0.01185,-0.00949,-0.00616,-0.03333,9.52111,0
5647,149.9,7243,2.86,0.54,0.03153,0.01333,-0.00817,5.53053,0.01167,5e-05,0.43447,0.01299,0.54805,0.35008,-0.02533,-0.01635,-0.00743,-0.00367,-0.02796,-0.00296,-0.02721,-0.01824,-0.04831,-0.00515,0.09601,-0.01341,0.19002,-0.00892,-0.01264,-0.02684,0.0,12.80128,0
5648,153.3,7254,2.84,0.54,0.03147,0.01043,-0.00546,5.53195,0.01187,0.00017,0.43453,0.01299,0.48358,0.31379,-0.01712,-0.01412,-0.00653,-0.00333,-0.02551,-0.00298,-0.0236,-0.01727,-0.04396,-0.00523,0.08735,-0.0116,0.15345,-0.00831,-0.00979,-0.03018,-0.01818,11.64667,0
5649,156.7,7218,2.86,0.55,0.03121,0.00334,-0.00632,5.52802,0.01361,0.00017,0.43442,0.01361,0.48614,0.30345,-0.01266,-0.0137,-0.00583,-0.00274,-0.02322,-0.00236,-0.02026,-0.01523,-0.04027,-0.00513,0.08311,-0.00899,0.14022,-0.01014,-0.00773,-0.03438,-0.03333,11.08167,0
5650,160.4,6637,3.15,0.55,0.03175,0.00152,-0.00907,5.50305,0.01602,0.00017,0.43314,0.01293,0.70352,0.44338,-0.02019,-0.01872,-0.0082,-0.00355,-0.03469,-0.00346,-0.03246,-0.02352,-0.06169,-0.00204,0.1247,-0.01686,0.20174,-0.00961,-0.01273,-0.04994,0.0,16.62714,0
5651,163.8,7307,2.91,0.45,0.03213,0.00208,-0.00852,5.46246,0.01421,0.00017,0.43203,0.01267,0.53267,0.33568,-0.01589,-0.01403,-0.0055,-0.00292,-0.02643,-0.00256,-0.0251,-0.01779,-0.04567,-0.00265,0.09173,-0.01216,0.15237,-0.00696,-0.01129,-0.03398,0.0,12.23,0
5652,166.8,8251,2.5,0.48,0.02721,0.01349,-0.00957,5.43764,0.01393,0.00017,0.43171,0.01673,0.66436,0.42027,-0.01682,-0.01855,-0.00779,-0.00432,-0.03407,-0.00319,-0.03187,-0.022,-0.05716,-0.00415,0.1158,-0.01568,0.23749,-0.01116,-0.01295,-0.0114,0.0,15.44,0
5653,169.7,8214,2.5,0.49,0.02804,0.00738,-0.00966,5.43482,0.0164,0.00011,0.43187,0.01976,0.47132,0.29712,-0.01834,-0.01381,-0.00574,-0.00386,-0.02471,-0.00334,-0.02412,-0.01613,-0.04141,-0.00621,0.08309,-0.01156,0.15748,-0.00752,-0.01081,-0.01689,0.0,11.07909,0
5654,173.1,7313,2.83,0.53,0.0299,0.01108,-0.00886,5.43365,0.01483,8e-05,0.43188,0.01585,0.48288,0.30738,-0.01622,-0.01436,-0.00581,-0.0031,-0.02458,-0.0027,-0.02361,-0.01604,-0.04263,-0.00498,0.08487,-0.01082,0.16196,-0.00748,-0.01052,-0.01801,-0.00909,11.31545,0
5655,176.6,7141,2.9,0.54,0.03096,0.00568,-0.00797,5.43166,0.01413,8e-05,0.43181,0.01456,0.67706,0.43486,-0.01726,-0.01866,-0.00705,-0.00367,-0.03317,-0.00283,-0.03193,-0.02278,-0.05778,-0.00356,0.11853,-0.01366,0.22405,-0.01013,-0.01334,-0.02458,-0.01111,15.80444,0
5656,180.0,7191,2.91,0.51,0.03141,0.00808,-0.00477,5.42661,0.01209,8e-05,0.43164,0.01344,0.4693,0.29752,-0.01865,-0.01437,-0.00581,-0.0038,-0.02446,-0.0032,-0.02357,-0.01552,-0.04063,-0.00893,0.08287,-0.01237,0.1595,-0.00797,-0.01117,-0.01576,-0.03333,11.04944,0
5657,183.4,7205,2.87,0.54,0.03199,0.00362,-0.0067,5.41359,0.01272,0.00026,0.43078,0.01278,0.50641,0.32491,-0.01551,-0.01481,-0.00673,-0.00411,-0.02646,-0.00345,-0.02505,-0.01681,-0.0439,-0.00673,0.08876,-0.01291,0.17886,-0.00831,-0.0109,-0.01136,0.0,11.83429,0
5658,186.7,7299,2.86,0.51,0.03213,0.00141,-0.0083,5.37024,0.01573,0.00017,0.42886,0.0132,0.56195,0.36022,-0.02191,-0.01695,-0.00732,-0.00513,-0.03077,-0.00385,-0.03069,-0.01898,-0.04948,-0.00585,0.10022,-0.01534,0.19869,-0.00932,-0.01728,-0.01347,0.0,13.36333,0
5659,190.2,7212,2.9,0.51,0.0319,0.00471,-0.00582,5.32487,0.01448,0.00026,0.42792,0.01383,0.66064,0.43164,-0.02015,-0.01916,-0.00788,-0.00518,-0.0346,-0.00364,-0.03198,-0.02115,-0.05722,-0.00533,0.11659,-0.01553,0.22933,-0.01035,-0.01485,-0.01712,0.0,15.54519,0
