iteration,time_s,fps,collect_s,update_s,reward_per_step,value_loss,surrogate,entropy,kl,lr,std,symmetry,ep_tracking_lin_vel,ep_tracking_ang_vel,ep_lin_vel_z,ep_ang_vel_xy,ep_orientation,ep_base_height,ep_torques,ep_torque_limits,ep_dof_vel,ep_dof_acc,ep_action_rate,ep_dof_pos_limits,ep_alive,ep_hip_pos,ep_contact,ep_feet_swing_height,ep_contact_no_vel,ep_stand_still,ep_termination,ep_length_s,unstable_resets
4835,114.6,7654,2.77,0.44,0.02711,0.00267,-0.00812,6.02627,0.01348,0.00017,0.44401,0.02582,0.5922,0.2209,-0.01706,-0.01775,-0.00568,-0.00633,-0.0346,-0.00473,-0.02821,-0.01865,-0.05537,-0.00184,0.10431,-0.0124,0.22612,-0.0123,-0.01536,0.0,0.0,13.908,0
4836,118.0,7253,2.92,0.47,0.02755,0.01489,-0.00364,6.01233,0.01662,2e-05,0.44382,0.02523,0.62647,0.22891,-0.01951,-0.01922,-0.00609,-0.00401,-0.03515,-0.00479,-0.03263,-0.02196,-0.05998,-0.00203,0.11035,-0.01446,0.23841,-0.01337,-0.01463,0.0,0.0,14.71333,0
4837,121.4,7075,3.0,0.48,0.02745,0.01436,-0.00519,6.01163,0.01281,8e-05,0.44384,0.02451,0.59934,0.2347,-0.0354,-0.02243,-0.00811,-0.00643,-0.03753,-0.00549,-0.03656,-0.02223,-0.06005,-0.00929,0.11164,-0.01785,0.23871,-0.01368,-0.01969,0.0,-0.02857,14.88571,0
4838,124.9,7019,3.02,0.48,0.02779,0.00318,-0.00675,6.00889,0.01473,5e-05,0.44359,0.02199,0.79529,0.28744,-0.02212,-0.02403,-0.00796,-0.00708,-0.04509,-0.0054,-0.04046,-0.02662,-0.07214,-0.00507,0.13832,-0.01922,0.29919,-0.01448,-0.02078,0.0,0.0,18.44333,0
4839,128.4,7112,3.0,0.46,0.02736,0.00154,-0.00749,5.993,0.01166,0.00017,0.44265,0.0245,0.77031,0.29129,-0.04241,-0.02769,-0.01067,-0.00586,-0.0469,-0.00762,-0.04688,-0.03087,-0.07593,-0.01147,0.14169,-0.0214,0.306,-0.01441,-0.02762,-0.02222,-0.04,18.892,0
4840,132.0,6922,3.06,0.5,0.02758,0.00486,-0.00658,5.96245,0.0137,0.00011,0.44192,0.02263,0.76298,0.28167,-0.02068,-0.02253,-0.00861,-0.00497,-0.04232,-0.00599,-0.03932,-0.02688,-0.07086,-0.00357,0.13375,-0.01585,0.28926,-0.01464,-0.01919,0.0,0.0,17.83333,0
4841,135.4,7044,3.01,0.48,0.02382,0.13192,-0.01086,5.96344,0.01468,0.00026,0.44296,0.0316,0.53128,0.20276,-0.02169,-0.01701,-0.0065,-0.00573,-0.0313,-0.00442,-0.02868,-0.01915,-0.05037,-0.00613,0.09726,-0.01319,0.20995,-0.00978,-0.01424,-0.01743,-0.05,12.9675,0
4842,138.6,7906,2.64,0.47,0.01729,0.07875,-0.01075,5.99948,0.01587,8e-05,0.44379,0.05636,0.39018,0.14721,-0.01915,-0.0152,-0.00471,-0.00336,-0.02182,-0.00356,-0.01961,-0.01404,-0.0361,-0.01682,0.07018,-0.00982,0.15166,-0.00765,-0.0098,-0.02083,-0.10444,9.35778,0
4843,141.8,7611,2.78,0.45,0.01979,0.04076,-0.00748,6.01579,0.01722,1e-05,0.44421,0.05033,0.31278,0.11796,-0.02492,-0.01381,-0.00682,-0.00427,-0.01913,-0.00345,-0.01884,-0.01228,-0.03065,-0.0151,0.05789,-0.0109,0.12356,-0.00854,-0.01067,-0.01613,-0.11754,7.71912,0
4844,145.2,7293,2.91,0.46,0.02447,0.03271,-0.00692,6.02408,0.01193,3e-05,0.44456,0.03551,0.37613,0.14382,-0.0285,-0.0143,-0.00633,-0.00416,-0.02241,-0.0038,-0.0215,-0.0147,-0.03719,-0.01242,0.06844,-0.013,0.14468,-0.00869,-0.00851,-0.02646,-0.1,9.126,0
4845,148.7,7026,3.02,0.48,0.02562,0.01246,-0.00727,6.03361,0.0135,0.00011,0.44485,0.03,0.38159,0.1458,-0.03482,-0.01527,-0.00845,-0.00457,-0.02441,-0.00404,-0.02524,-0.0151,-0.03905,-0.01408,0.07186,-0.01533,0.15115,-0.0176,-0.01483,-0.02355,-0.1,9.58111,0
4846,152.1,7156,2.96,0.48,0.02715,0.01539,-0.00608,6.04164,0.01489,5e-05,0.44504,0.02345,0.57967,0.21667,-0.01638,-0.01777,-0.00612,-0.00332,-0.03127,-0.00357,-0.02841,-0.02008,-0.05305,-0.00479,0.10133,-0.01479,0.21793,-0.01207,-0.01108,-0.0028,-0.01818,13.51091,0
4847,155.6,7080,2.99,0.48,0.02739,0.00608,-0.00723,6.04253,0.01347,8e-05,0.44492,0.02292,0.56617,0.21996,-0.01793,-0.01655,-0.00595,-0.00288,-0.03016,-0.00386,-0.02663,-0.01935,-0.05399,-0.00663,0.10193,-0.01271,0.21975,-0.01147,-0.01296,-0.02414,-0.0125,13.59,0
4848,159.0,7052,3.01,0.48,0.02744,0.00432,-0.00702,6.03546,0.01348,0.00017,0.44469,0.02172,0.39738,0.14942,-0.02363,-0.01378,-0.0057,-0.00333,-0.02306,-0.00364,-0.021,-0.014,-0.03792,-0.00522,0.07268,-0.01124,0.15428,-0.00796,-0.01112,-0.01974,-0.01111,9.69,0
