iteration,time_s,fps,collect_s,update_s,reward_per_step,value_loss,surrogate,entropy,kl,lr,std,symmetry,ep_tracking_lin_vel,ep_tracking_ang_vel,ep_lin_vel_z,ep_ang_vel_xy,ep_orientation,ep_base_height,ep_torques,ep_torque_limits,ep_dof_vel,ep_dof_acc,ep_action_rate,ep_dof_pos_limits,ep_alive,ep_hip_pos,ep_contact,ep_feet_swing_height,ep_contact_no_vel,ep_stand_still,ep_termination,ep_length_s,unstable_resets
4027,118.7,4909,4.43,0.58,0.02614,0.00221,-0.00862,5.69308,0.00826,0.00011,0.43422,0.0,0.39386,0.15555,-0.02035,-0.01608,-0.00707,-0.0026,-0.02416,-0.00401,-0.02572,-0.0171,-0.03811,-0.00781,0.07421,-0.01429,0.15521,-0.01261,-0.01204,0.0,-0.06667,9.89444,0
4028,123.4,5331,4.07,0.54,0.02696,0.0014,-0.00984,5.64982,0.01423,0.00026,0.43199,0.0,0.57562,0.22455,-0.01553,-0.01647,-0.00675,-0.00146,-0.02958,-0.00323,-0.0262,-0.02011,-0.05057,-0.00091,0.10128,-0.01356,0.21643,-0.0109,-0.01116,-0.03876,0.0,13.50444,0
4029,127.9,5391,4.01,0.55,0.02699,0.00154,-0.01018,5.58971,0.01473,0.00026,0.43017,0.0,0.46247,0.18547,-0.01136,-0.00994,-0.00409,-0.00112,-0.02216,-0.00201,-0.01918,-0.01602,-0.04062,-0.00014,0.08055,-0.0066,0.16578,-0.00334,-0.00858,-0.10682,0.0,10.74,0
4030,132.7,5143,4.24,0.54,0.02714,0.00148,-0.00968,5.53717,0.01407,0.00026,0.42803,0.0,0.52219,0.20474,-0.01647,-0.01617,-0.00672,-0.00212,-0.02979,-0.00401,-0.0262,-0.01902,-0.04688,-0.00131,0.09294,-0.01425,0.19688,-0.0113,-0.01238,0.0,0.0,12.3925,0
4031,136.7,6087,3.53,0.5,0.02305,0.04273,-0.01171,5.4963,0.0145,0.00017,0.42748,0.0,0.54867,0.21405,-0.02011,-0.01817,-0.00928,-0.00325,-0.03225,-0.00426,-0.03304,-0.02083,-0.05107,-0.00194,0.10112,-0.01727,0.21413,-0.0148,-0.0168,0.0,0.0,13.48333,0
4032,140.6,6303,3.42,0.48,0.02219,0.03796,-0.01072,5.49843,0.01509,8e-05,0.42777,0.0,0.6018,0.23504,-0.0212,-0.01872,-0.00732,-0.00258,-0.03398,-0.00443,-0.03297,-0.02341,-0.05576,-0.00035,0.1086,-0.01608,0.22822,-0.01298,-0.01782,-0.0356,0.0,14.48,0
4033,144.9,5744,3.71,0.56,0.023,0.03146,-0.01031,5.51299,0.01565,5e-05,0.42842,0.0,0.56883,0.22308,-0.02704,-0.01872,-0.00802,-0.00331,-0.03151,-0.00509,-0.0304,-0.02182,-0.05265,-0.00411,0.1036,-0.01825,0.21642,-0.01157,-0.01782,-0.05886,-0.08462,13.81308,0
4034,149.4,5420,4.01,0.52,0.02439,0.0139,-0.00945,5.5278,0.01405,0.00011,0.42874,0.0,0.62257,0.24839,-0.02916,-0.01942,-0.00858,-0.00352,-0.03393,-0.00549,-0.03174,-0.02339,-0.0575,-0.00526,0.11355,-0.01651,0.23597,-0.01153,-0.0171,-0.07735,-0.06364,15.13939,0
4035,154.1,5290,4.11,0.53,0.02581,0.01071,-0.00738,5.53509,0.0147,0.00017,0.42908,0.0,0.50949,0.20386,-0.02051,-0.01726,-0.00734,-0.00233,-0.02905,-0.00405,-0.02883,-0.01966,-0.04734,-0.00252,0.09328,-0.01439,0.19657,-0.01372,-0.01428,-0.00697,-0.03,12.438,0
4036,158.7,5323,4.0,0.62,0.0263,0.00331,-0.00566,5.53834,0.0163,3e-05,0.42892,0.0,0.51484,0.2022,-0.03787,-0.01827,-0.00798,-0.00341,-0.02679,-0.00429,-0.02726,-0.01944,-0.04748,-0.01016,0.09333,-0.01612,0.19301,-0.01038,-0.01759,-0.09476,-0.0875,12.44375,0
4037,163.4,5242,4.33,0.36,0.02733,0.00581,-0.007,5.52778,0.01183,0.00017,0.42824,0.0,0.52489,0.20529,-0.02054,-0.01818,-0.00748,-0.00347,-0.0318,-0.00462,-0.03265,-0.02101,-0.0491,-0.00093,0.09579,-0.01389,0.20585,-0.01232,-0.01788,0.0,0.0,12.772,0
4038,167.9,5449,3.99,0.52,0.027,0.00607,-0.00351,5.51044,0.0151,5e-05,0.42788,0.0,0.47689,0.19067,-0.01538,-0.01551,-0.00526,-0.00167,-0.02385,-0.003,-0.02054,-0.01604,-0.04234,-0.00585,0.08508,-0.01063,0.17971,-0.01116,-0.00837,-0.02931,-0.08,11.344,0
4039,172.7,5083,4.3,0.54,0.02722,0.013,-0.00627,5.50697,0.0135,5e-05,0.42788,0.0,0.66048,0.26032,-0.01753,-0.01982,-0.00668,-0.0009,-0.03208,-0.0031,-0.0264,-0.02122,-0.05536,-9e-05,0.11532,-0.0167,0.24285,-0.01648,-0.00931,-0.02108,0.0,15.37667,0
4040,177.7,4952,4.36,0.6,0.02687,0.00365,-0.00807,5.50392,0.01095,0.00017,0.42744,0.0,0.41489,0.16406,-0.03732,-0.01654,-0.00839,-0.00456,-0.02783,-0.00566,-0.03228,-0.01906,-0.0417,-0.00883,0.08079,-0.01802,0.16891,-0.01636,-0.02144,0.0,-0.08,10.772,0
4041,182.9,4718,4.8,0.41,0.02389,0.13772,-0.01126,5.4947,0.01498,0.00017,0.42753,0.0,0.52527,0.205,-0.03077,-0.01925,-0.01054,-0.00432,-0.03232,-0.00587,-0.03263,-0.02082,-0.05133,-0.00467,0.09862,-0.0228,0.20444,-0.01321,-0.01803,-0.01624,-0.05,13.15,0
4042,187.1,5824,3.74,0.48,0.01635,0.09256,-0.00936,5.51363,0.01777,1e-05,0.428,0.0,0.46049,0.17911,-0.02072,-0.0152,-0.0053,-0.00188,-0.02395,-0.00356,-0.02109,-0.01623,-0.0398,-0.01472,0.08182,-0.01197,0.17308,-0.00802,-0.01039,-0.04774,-0.0787,10.90981,0
