iteration,time_s,fps,collect_s,update_s,reward_per_step,value_loss,surrogate,entropy,kl,lr,std,ep_tracking_lin_vel,ep_tracking_ang_vel,ep_lin_vel_z,ep_ang_vel_xy,ep_orientation,ep_base_height,ep_torques,ep_torque_limits,ep_dof_vel,ep_dof_acc,ep_action_rate,ep_dof_pos_limits,ep_alive,ep_hip_pos,ep_contact,ep_feet_swing_height,ep_contact_no_vel,ep_stand_still,ep_termination,ep_length_s,unstable_resets
3027,103.0,7228,2.99,0.41,0.02948,0.03607,-0.00737,-2.25342,0.01412,8e-05,0.23169,0.39953,0.21101,-0.01794,-0.01009,-0.00931,-0.0021,-0.01424,-0.00157,-0.01239,-0.00674,-0.01312,-0.00105,0.07839,-0.01049,0.16908,-0.0136,-0.00818,-0.00894,-0.08889,10.45139,0
3028,106.7,6802,3.17,0.44,0.02964,0.02369,-0.00829,-2.24692,0.01254,5e-05,0.2318,0.34486,0.18475,-0.02761,-0.01076,-0.01055,-0.00251,-0.01356,-0.00191,-0.0111,-0.00588,-0.01133,-0.00153,0.06845,-0.01326,0.14439,-0.01221,-0.00715,0.0,-0.10417,9.12708,0
3029,110.2,6893,3.09,0.48,0.02925,0.03089,-0.00888,-2.24116,0.01306,5e-05,0.23193,0.26211,0.1351,-0.01879,-0.00879,-0.00776,-0.00224,-0.00963,-0.00125,-0.00824,-0.00424,-0.00852,-0.00257,0.05041,-0.00939,0.10591,-0.0085,-0.00487,0.0,-0.11,6.722,0
3030,113.6,7235,2.99,0.41,0.02976,0.02048,-0.00993,-2.23193,0.0148,0.00011,0.23213,0.47263,0.23419,-0.01036,-0.0097,-0.00511,-0.00184,-0.01435,-0.0007,-0.01202,-0.00644,-0.01349,-0.00313,0.08291,-0.00943,0.1804,-0.01456,-0.00716,-0.03676,-0.07143,11.05429,0
3031,116.7,8074,2.64,0.4,0.0258,0.23247,-0.01059,-2.21977,0.01555,5e-05,0.2323,0.41788,0.2349,-0.01847,-0.01035,-0.00855,-0.00175,-0.01646,-0.00129,-0.01413,-0.00726,-0.0141,-0.00058,0.08541,-0.01225,0.18413,-0.01263,-0.00916,-0.01431,-0.05185,11.38852,0
3032,119.8,7878,2.63,0.49,0.02412,0.08657,-0.00909,-2.21144,0.01351,8e-05,0.23247,0.48876,0.25904,-0.02511,-0.01216,-0.01044,-0.00278,-0.01732,-0.00153,-0.01527,-0.00827,-0.01576,-0.00077,0.09382,-0.01267,0.20277,-0.01507,-0.00875,-0.03122,-0.10909,12.51,0
3033,123.4,6750,3.12,0.52,0.02418,0.07941,-0.00988,-2.2016,0.01841,1e-05,0.23263,0.46814,0.24722,-0.0245,-0.01389,-0.01219,-0.00325,-0.01772,-0.0019,-0.01489,-0.0081,-0.01574,-0.00249,0.09261,-0.01847,0.19684,-0.01545,-0.00879,-0.00433,-0.15556,12.34741,0
3034,127.2,6467,3.36,0.44,0.02527,0.05484,-0.00845,-2.19448,0.01356,8e-05,0.23286,0.36586,0.1884,-0.01594,-0.0119,-0.00812,-0.00296,-0.01421,-0.00157,-0.01437,-0.00671,-0.01262,-0.00864,0.07214,-0.01231,0.15417,-0.00968,-0.01024,-0.01375,-0.16429,9.61833,0
3035,131.0,6526,3.37,0.4,0.02712,0.04286,-0.0077,-2.18266,0.01502,3e-05,0.23305,0.48851,0.26171,-0.02349,-0.01294,-0.01102,-0.00279,-0.01863,-0.00211,-0.01587,-0.00809,-0.01633,-0.00285,0.09666,-0.01534,0.2057,-0.01551,-0.01222,-0.03032,-0.11875,12.88833,0
3036,134.6,6787,3.14,0.48,0.02965,0.03762,-0.00894,-2.17475,0.01582,1e-05,0.23316,0.62036,0.32912,-0.01328,-0.0145,-0.01181,-0.00186,-0.021,-0.00175,-0.01957,-0.01007,-0.01969,-0.00171,0.11871,-0.01481,0.25823,-0.01979,-0.01007,-0.03524,-0.07333,15.828,0
3037,138.2,6781,3.2,0.43,0.028,0.03295,-0.0078,-2.16969,0.01231,8e-05,0.23332,0.43802,0.23889,-0.0292,-0.01311,-0.01227,-0.00305,-0.01779,-0.00195,-0.01578,-0.00801,-0.01529,-0.00181,0.08979,-0.01608,0.18995,-0.01323,-0.01134,-0.01061,-0.11282,11.97205,0
3038,141.9,6757,3.24,0.39,0.02924,0.01957,-0.00734,-2.16116,0.01333,5e-05,0.23349,0.4371,0.22798,-0.01819,-0.01131,-0.00846,-0.00211,-0.01541,-0.00152,-0.0131,-0.00682,-0.01413,-0.00245,0.08358,-0.01114,0.17924,-0.01293,-0.00818,-0.01309,-0.1,11.14417,0
3039,145.6,6558,3.31,0.44,0.02995,0.02273,-0.01012,-2.15224,0.01436,0.00011,0.23374,0.58209,0.30384,-0.02192,-0.01458,-0.01103,-0.00284,-0.02032,-0.0018,-0.01882,-0.00962,-0.01836,-0.00145,0.10998,-0.01684,0.2385,-0.01645,-0.0112,0.0,-0.1,14.664,0
3040,149.4,6492,3.37,0.42,0.02969,0.0349,-0.00631,-2.13915,0.01585,2e-05,0.23391,0.36003,0.19498,-0.02204,-0.0124,-0.01111,-0.00263,-0.01541,-0.00215,-0.01405,-0.00696,-0.01312,-0.00362,0.07367,-0.01558,0.15441,-0.0107,-0.00868,0.0,-0.08571,9.82286,0
3041,152.7,7434,2.91,0.39,0.02659,0.36308,-0.01009,-2.13044,0.01414,8e-05,0.23414,0.36649,0.18924,-0.01992,-0.01054,-0.00768,-0.00224,-0.01383,-0.00163,-0.01254,-0.00618,-0.01191,-0.00907,0.07002,-0.01181,0.14943,-0.01072,-0.00862,-0.00872,-0.1,9.33625,0
3042,155.7,8217,2.59,0.4,0.02093,0.11529,-0.0095,-2.11927,0.01446,8e-05,0.2343,0.41884,0.21428,-0.01255,-0.01103,-0.00617,-0.00181,-0.01372,-0.00132,-0.01144,-0.00646,-0.01265,-0.00748,0.07696,-0.00999,0.16632,-0.01426,-0.00629,-0.03851,-0.08649,10.26156,0
3043,158.9,7796,2.75,0.4,0.02109,0.08425,-0.00748,-2.11286,0.01456,2e-05,0.23437,0.41868,0.22497,-0.0119,-0.01051,-0.00798,-0.00197,-0.01473,-0.00108,-0.01204,-0.00639,-0.01333,-0.00378,0.08032,-0.01076,0.17456,-0.01322,-0.00769,-0.01604,-0.08931,10.7097,0
3044,162.3,7259,2.97,0.41,0.02348,0.052,-0.0104,-2.1076,0.01215,8e-05,0.23454,0.3791,0.2,-0.0217,-0.01138,-0.00939,-0.00295,-0.01417,-0.00176,-0.01299,-0.00671,-0.01265,-0.00329,0.07386,-0.01326,0.1577,-0.01183,-0.00878,-0.0121,-0.12063,9.84841,0
3045,166.1,6407,3.44,0.4,0.02707,0.04755,-0.00861,-2.09863,0.01453,5e-05,0.23473,0.25418,0.13467,-0.01199,-0.00864,-0.00609,-0.00237,-0.00974,-0.00124,-0.00924,-0.00465,-0.00875,-0.00479,0.05025,-0.00785,0.10644,-0.00742,-0.0067,-0.00877,-0.11875,6.69937,0
3046,169.8,6603,3.26,0.46,0.02804,0.02393,-0.0099,-2.0887,0.01542,8e-05,0.23504,0.32867,0.17765,-0.02035,-0.01041,-0.00851,-0.0022,-0.01368,-0.00181,-0.01282,-0.00649,-0.01166,-0.00413,0.06729,-0.01116,0.14255,-0.01031,-0.0082,-0.00512,-0.08571,8.9719,0
3047,173.7,6352,3.43,0.43,0.02852,0.03188,-0.00767,-2.07448,0.01375,5e-05,0.23525,0.39807,0.20469,-0.01898,-0.01071,-0.00802,-0.00201,-0.01467,-0.00127,-0.01354,-0.00695,-0.01311,-0.00209,0.07622,-0.01266,0.16389,-0.01161,-0.00876,-0.01369,-0.07255,10.16314,0
3048,177.8,5929,3.73,0.41,0.0296,0.0275,-0.009,-2.06318,0.01431,5e-05,0.23546,0.39809,0.2162,-0.01309,-0.00984,-0.00814,-0.00164,-0.01547,-0.00102,-0.01142,-0.00596,-0.0132,-0.0017,0.07864,-0.01058,0.16852,-0.01258,-0.00648,-0.03892,-0.0625,10.485,0
3049,181.6,6424,3.4,0.42,0.02937,0.04133,-0.00939,-2.05126,0.01551,8e-05,0.23575,0.45754,0.23694,-0.01308,-0.01091,-0.00664,-0.00145,-0.01615,-0.00117,-0.01447,-0.00737,-0.01467,-0.00212,0.08538,-0.01229,0.18624,-0.01335,-0.00795,-0.0019,-0.04667,11.384,0
3050,185.6,6211,3.46,0.49,0.02861,0.0348,-0.00763,-2.03702,0.01405,5e-05,0.23597,0.30687,0.15246,-0.01032,-0.00829,-0.00539,-0.00161,-0.01,-0.00077,-0.00877,-0.00452,-0.00939,-0.00366,0.05588,-0.0074,0.11886,-0.01031,-0.00532,-0.02913,-0.08,7.45024,0
3051,189.6,6188,3.48,0.49,0.02963,0.02083,-0.00823,-2.02543,0.0149,0.00011,0.23624,0.4328,0.22129,-0.01216,-0.01055,-0.00642,-0.00147,-0.01378,-0.00124,-0.01236,-0.00655,-0.01349,-0.00285,0.07982,-0.01097,0.1739,-0.01341,-0.00702,-0.02781,-0.05417,10.64208,0
3052,192.8,7745,2.8,0.37,0.02507,0.11144,-0.00749,-2.01233,0.01575,5e-05,0.23642,0.39057,0.20643,-0.00919,-0.0086,-0.00493,-0.00103,-0.01421,-0.00057,-0.01247,-0.00612,-0.01269,-0.00021,0.07452,-0.01001,0.16229,-0.0115,-0.00751,-0.00991,-0.00769,9.93615,0
