iteration,time_s,fps,collect_s,update_s,reward_per_step,value_loss,surrogate,entropy,kl,lr,std,symmetry,ep_tracking_lin_vel,ep_tracking_ang_vel,ep_lin_vel_z,ep_ang_vel_xy,ep_orientation,ep_base_height,ep_torques,ep_torque_limits,ep_dof_vel,ep_dof_acc,ep_action_rate,ep_dof_pos_limits,ep_alive,ep_hip_pos,ep_contact,ep_feet_swing_height,ep_contact_no_vel,ep_stand_still,ep_termination,ep_length_s,unstable_resets
4027,99.8,6131,3.4,0.61,0.02654,0.01094,-0.00629,5.27436,0.01313,0.00017,0.41918,0.01826,0.47433,0.19109,-0.04145,-0.01792,-0.01055,-0.0037,-0.02745,-0.00486,-0.02732,-0.01751,-0.04287,-0.00582,0.08852,-0.0143,0.17795,-0.01665,-0.0207,0.0,-0.05,11.8025,0
4028,103.4,6909,3.05,0.51,0.02662,0.01286,-0.00619,5.26295,0.01495,8e-05,0.41882,0.01863,0.49706,0.19905,-0.03843,-0.01986,-0.00918,-0.00349,-0.03068,-0.00578,-0.02859,-0.0185,-0.04496,-0.00805,0.09567,-0.01921,0.19561,-0.01561,-0.01699,-0.04247,-0.02222,12.75556,0
4029,106.9,6992,2.97,0.55,0.02589,0.00868,-0.00778,5.24988,0.01453,0.00011,0.41795,0.01801,0.42987,0.16602,-0.02396,-0.01639,-0.00802,-0.00317,-0.0265,-0.00416,-0.02362,-0.01541,-0.03783,-0.00403,0.08135,-0.01382,0.16953,-0.01172,-0.01326,-0.00669,-0.04444,10.84733,0
4030,110.3,7180,2.9,0.53,0.02675,0.00249,-0.00769,5.2182,0.01333,0.00026,0.41648,0.01739,0.42423,0.16409,-0.01545,-0.0155,-0.0062,-0.00133,-0.02281,-0.00354,-0.0214,-0.01596,-0.0362,-0.00542,0.07545,-0.00996,0.15561,-0.00867,-0.01172,0.0,-0.06667,10.06,0
4031,113.5,7676,2.66,0.54,0.02294,0.07994,-0.00819,5.18426,0.01357,0.00017,0.41608,0.01883,0.3637,0.13635,-0.01507,-0.01401,-0.00504,-0.00229,-0.02192,-0.00414,-0.01962,-0.01287,-0.03102,-0.00435,0.06723,-0.00933,0.14429,-0.00859,-0.01266,0.0,-0.04,8.964,0
4032,116.8,7533,2.78,0.48,0.02164,0.0365,-0.00994,5.18027,0.01467,5e-05,0.41596,0.02564,0.62212,0.23842,-0.02056,-0.02,-0.00841,-0.00225,-0.03383,-0.00448,-0.02675,-0.01981,-0.05059,-0.00321,0.11137,-0.01577,0.23283,-0.01802,-0.01327,-0.02716,-0.05714,14.84952,0
4033,120.0,7733,2.74,0.44,0.02295,0.02247,-0.00981,5.17451,0.01448,0.00011,0.41573,0.02093,0.54317,0.2174,-0.02162,-0.01938,-0.00923,-0.00377,-0.03102,-0.00491,-0.02617,-0.01812,-0.04614,-0.00406,0.10001,-0.01726,0.20416,-0.01619,-0.01452,-0.05465,-0.10784,13.33529,0
4034,123.3,7383,2.81,0.52,0.02493,0.02408,-0.00751,5.17169,0.01472,8e-05,0.41566,0.0184,0.54766,0.21247,-0.02331,-0.02061,-0.00955,-0.00372,-0.03083,-0.00478,-0.02661,-0.01904,-0.04559,-0.00722,0.10028,-0.0149,0.20593,-0.0152,-0.01512,-0.04241,-0.09,13.371,0
4035,126.8,7074,3.01,0.47,0.0261,0.00792,-0.00834,5.16511,0.01466,8e-05,0.4152,0.01676,0.63701,0.25414,-0.0214,-0.02308,-0.01122,-0.00296,-0.03737,-0.00536,-0.03288,-0.0221,-0.05655,-0.00212,0.12092,-0.01807,0.2535,-0.01586,-0.01913,-0.01702,-0.06667,16.12222,0
4036,130.1,7302,2.85,0.52,0.02679,0.00718,-0.00821,5.14875,0.01164,0.00017,0.41444,0.01558,0.46612,0.17723,-0.02188,-0.01857,-0.0094,-0.00395,-0.0274,-0.00421,-0.02633,-0.01634,-0.03975,-0.00392,0.08601,-0.01547,0.18158,-0.01179,-0.01515,0.0,-0.05,11.4675,0
4037,133.5,7300,2.84,0.53,0.02718,0.00634,-0.00791,5.12182,0.01397,0.00011,0.41366,0.01497,0.61054,0.23167,-0.01958,-0.01933,-0.00767,-0.00293,-0.03132,-0.00384,-0.02752,-0.01969,-0.0486,-0.00097,0.1075,-0.01334,0.2267,-0.01649,-0.01523,-0.06339,-0.02963,14.33333,0
4038,136.9,7153,2.91,0.53,0.02719,0.00488,-0.00625,5.10397,0.01328,0.00011,0.41302,0.0148,0.66727,0.24892,-0.01645,-0.02019,-0.00764,-0.00175,-0.03197,-0.00338,-0.02739,-0.02171,-0.05113,-0.00244,0.11565,-0.01409,0.24678,-0.01759,-0.01192,0.0,-0.04,15.42,0
4039,140.3,7226,2.9,0.5,0.02706,0.00705,-0.00768,5.07828,0.01527,0.00011,0.41212,0.01501,0.56512,0.22084,-0.02323,-0.01959,-0.00859,-0.0023,-0.03196,-0.00452,-0.02795,-0.01909,-0.04684,-0.00249,0.10371,-0.01554,0.21833,-0.01367,-0.01534,-0.01758,-0.00833,13.82833,0
4040,143.7,7232,2.9,0.5,0.0268,0.01566,-0.00698,5.06065,0.01372,5e-05,0.41182,0.01526,0.75665,0.29061,-0.02999,-0.02506,-0.01067,-0.00345,-0.03919,-0.00465,-0.0338,-0.02479,-0.06063,-0.00224,0.13505,-0.01939,0.28328,-0.02028,-0.01809,0.0,-0.03333,18.00667,0
4041,147.1,7203,2.9,0.51,0.02377,0.15373,-0.01072,5.05791,0.01296,0.00017,0.41187,0.01917,0.5894,0.22804,-0.02084,-0.02087,-0.00778,-0.00275,-0.03137,-0.0042,-0.02911,-0.02039,-0.04772,-0.00481,0.10554,-0.01325,0.22281,-0.01534,-0.01527,-0.00599,-0.05,14.0725,0
4042,150.3,7728,2.67,0.51,0.01775,0.1054,-0.01037,5.0668,0.01625,3e-05,0.41208,0.02942,0.47572,0.18585,-0.02193,-0.01865,-0.00697,-0.00268,-0.02541,-0.00377,-0.02234,-0.01617,-0.03837,-0.01236,0.08611,-0.01534,0.17743,-0.01375,-0.01217,-0.03779,-0.07667,11.4818,0
4043,153.7,7344,2.81,0.54,0.01726,0.04977,-0.00989,5.07036,0.01275,8e-05,0.41219,0.02546,0.31666,0.12722,-0.02202,-0.01424,-0.00755,-0.00321,-0.01878,-0.00316,-0.01646,-0.01126,-0.02682,-0.00855,0.05998,-0.01103,0.12209,-0.01257,-0.00895,-0.02052,-0.13437,7.99741,0
4044,157.1,7186,2.89,0.53,0.02332,0.01856,-0.00973,5.07202,0.01456,5e-05,0.41217,0.01823,0.28138,0.11448,-0.02102,-0.01302,-0.00743,-0.0035,-0.01719,-0.00357,-0.0154,-0.00973,-0.02424,-0.01087,0.05458,-0.01142,0.11054,-0.00919,-0.00881,-0.0192,-0.13922,7.27784,0
4045,160.5,7115,2.94,0.52,0.02601,0.01033,-0.00825,5.06616,0.01274,0.00017,0.41177,0.01629,0.54345,0.21176,-0.02142,-0.02018,-0.01036,-0.00335,-0.03087,-0.00487,-0.02477,-0.01818,-0.04492,-0.00719,0.09975,-0.01446,0.20826,-0.01373,-0.01271,-0.05137,-0.0625,13.3,0
4046,164.0,7176,2.92,0.51,0.02681,0.01754,-0.00626,5.05687,0.01452,5e-05,0.41157,0.01538,0.34644,0.13407,-0.02562,-0.01417,-0.00775,-0.00343,-0.02052,-0.00356,-0.02055,-0.01316,-0.0292,-0.00686,0.06598,-0.01337,0.13625,-0.01275,-0.01547,-0.00697,-0.04444,8.79778,0
4047,167.3,7275,2.91,0.46,0.02718,0.00832,-0.00672,5.05053,0.01227,0.00017,0.41104,0.01422,0.54636,0.2126,-0.01685,-0.01802,-0.00742,-0.00153,-0.02828,-0.00367,-0.02519,-0.01822,-0.0434,-0.00112,0.09736,-0.01483,0.20412,-0.01357,-0.01284,-0.03086,-0.00833,12.98083,0
4048,170.7,7263,2.91,0.47,0.02702,0.00571,-0.00689,5.02358,0.01555,0.00017,0.40979,0.01372,0.50888,0.20532,-0.01782,-0.01656,-0.00654,-0.00193,-0.02785,-0.00388,-0.02312,-0.0163,-0.041,-0.00342,0.09278,-0.01465,0.19097,-0.01384,-0.01228,-0.03516,-0.02,12.371,0
4049,174.2,7171,2.91,0.51,0.0268,0.01631,-0.00698,4.99942,0.01381,8e-05,0.40938,0.01366,0.64876,0.24717,-0.0188,-0.02086,-0.00729,-0.00223,-0.03375,-0.00474,-0.02802,-0.02021,-0.05016,-0.00164,0.11459,-0.0152,0.23888,-0.01806,-0.01428,-0.05984,-0.00417,15.27896,0
4050,177.6,7056,2.95,0.53,0.02678,0.00358,-0.00696,4.98979,0.01404,0.00017,0.4088,0.01354,0.39962,0.1572,-0.02003,-0.01526,-0.00703,-0.00221,-0.02299,-0.00316,-0.021,-0.01359,-0.03262,-0.00433,0.07435,-0.01259,0.15728,-0.00965,-0.01097,0.0,-0.02308,9.91385,0
4051,181.1,7138,2.92,0.53,0.02722,0.00598,-0.00766,4.96234,0.01556,0.00017,0.40771,0.01258,0.52472,0.20634,-0.02676,-0.01857,-0.00816,-0.00254,-0.02884,-0.00479,-0.02764,-0.01882,-0.04319,-0.0077,0.09674,-0.01876,0.19917,-0.01713,-0.01598,-0.06082,-0.02424,12.89848,0
4052,184.3,7747,2.64,0.54,0.02241,0.10023,-0.00885,4.94132,0.01409,0.00011,0.40738,0.01689,0.53154,0.20997,-0.01741,-0.01686,-0.00773,-0.00215,-0.02819,-0.0035,-0.02477,-0.01689,-0.04177,-0.0018,0.09631,-0.01435,0.20118,-0.01484,-0.0124,0.0,0.0,12.84167,0
4053,187.5,7657,2.67,0.54,0.02036,0.04991,-0.01065,4.93992,0.01586,3e-05,0.40736,0.02403,0.44771,0.17442,-0.01737,-0.01655,-0.00713,-0.00243,-0.0236,-0.00315,-0.02122,-0.01516,-0.03494,-0.00316,0.08089,-0.01318,0.16953,-0.01172,-0.01126,-0.01134,-0.08095,10.78595,0
4054,190.7,7513,2.82,0.46,0.024,0.02289,-0.00899,4.94058,0.01383,2e-05,0.40737,0.01729,0.57731,0.22549,-0.02436,-0.02066,-0.00901,-0.00267,-0.03025,-0.00381,-0.02854,-0.01926,-0.04596,-0.00305,0.10505,-0.01686,0.22056,-0.01691,-0.01333,-0.00534,-0.04583,14.00708,0
4055,194.1,7235,2.91,0.49,0.02524,0.01502,-0.00762,4.93857,0.01075,0.00011,0.4071,0.01531,0.44049,0.17756,-0.0184,-0.0158,-0.00684,-0.00225,-0.02446,-0.00359,-0.02114,-0.0141,-0.03514,-0.00564,0.08157,-0.01346,0.17043,-0.01303,-0.01206,-0.00436,-0.04815,10.8763,0
4056,197.6,7191,2.9,0.51,0.02655,0.01473,-0.00698,4.92715,0.01577,3e-05,0.40673,0.01406,0.47559,0.18889,-0.01501,-0.01567,-0.0064,-0.00156,-0.02439,-0.00323,-0.0212,-0.01538,-0.0364,-0.00186,0.08587,-0.01136,0.17983,-0.01357,-0.0103,-0.0226,-0.025,11.44917,0
4057,200.9,7278,2.91,0.47,0.0265,0.01958,-0.00713,4.92099,0.01245,0.00011,0.40649,0.01344,0.47832,0.19095,-0.02935,-0.01979,-0.00994,-0.00331,-0.02804,-0.00459,-0.027,-0.01692,-0.03956,-0.00683,0.09084,-0.01855,0.18783,-0.01418,-0.01746,-0.00816,-0.05,12.11143,0
