iteration,time_s,fps,collect_s,update_s,reward_per_step,value_loss,surrogate,entropy,kl,lr,std,unstable_resets
149,233.2,16622,1.23,0.25,0.00928,0.0052,-0.00566,7.42471,0.01315,2e-05,0.4648,0
150,234.7,16415,1.19,0.3,0.01466,0.00204,-0.00662,7.41397,0.0108,0.00026,0.46398,0
151,236.4,14153,1.44,0.29,0.0157,0.00137,-0.01088,7.37167,0.01313,0.00026,0.46216,0
152,238.1,14326,1.43,0.29,0.01626,0.00117,-0.01026,7.30965,0.01435,0.00038,0.45931,0
153,239.7,15246,1.36,0.25,0.01647,0.00153,-0.00481,7.24583,0.01498,0.00011,0.45798,0
154,241.3,15470,1.32,0.27,0.01651,0.00185,-0.00781,7.20727,0.01243,0.00038,0.45595,0
155,242.8,16408,1.22,0.27,0.01645,0.00092,-0.00904,7.12938,0.01511,0.00038,0.45312,0
156,244.3,16426,1.24,0.25,0.01478,0.47628,-0.00774,7.08056,0.01402,0.00026,0.45285,0
157,245.7,17672,1.14,0.25,0.0133,0.03418,-0.01028,7.09479,0.01675,0.00026,0.45366,0
158,247.1,17759,1.12,0.27,-0.01244,0.02423,-0.0085,7.10828,0.01562,8e-05,0.45397,0
159,248.6,16775,1.22,0.25,0.00532,0.00778,-0.00692,7.10937,0.01746,1e-05,0.45399,0
160,250.0,16923,1.2,0.25,0.01466,0.00474,-0.00569,7.1091,0.01207,2e-05,0.45408,0
161,251.4,17495,1.15,0.26,0.01693,0.00361,-0.00608,7.10891,0.01228,5e-05,0.45408,0
162,252.9,17022,1.19,0.26,0.0166,0.00127,-0.00786,7.09451,0.01127,0.00026,0.45296,0
163,254.5,15258,1.33,0.28,0.01682,0.00098,-0.01129,7.03726,0.01479,0.00038,0.45066,0
164,256.0,15894,1.28,0.26,0.01706,0.00135,-0.00784,6.97249,0.01408,0.00026,0.44886,0
165,257.5,16502,1.21,0.28,0.01741,0.00122,-0.00657,6.91902,0.01464,0.00038,0.44679,0
166,259.1,15671,1.27,0.3,0.01641,0.58975,-0.00286,6.87503,0.01457,0.00038,0.44613,0
167,260.7,14969,1.32,0.32,0.01585,0.05863,-0.01016,6.87925,0.01473,0.00017,0.44656,0
168,262.3,15616,1.28,0.29,-0.00021,0.02702,-0.01003,6.89395,0.01675,2e-05,0.44701,0
169,264.0,14556,1.41,0.27,-0.00281,0.01272,-0.00718,6.89977,0.01429,1e-05,0.44711,0
170,265.7,14312,1.44,0.28,0.01185,0.00644,-0.00649,6.90066,0.01103,8e-05,0.44707,0
171,267.4,14133,1.46,0.28,0.01498,0.0021,-0.00813,6.89304,0.01282,0.00017,0.44665,0
172,269.1,14536,1.42,0.27,0.01734,0.00237,-0.00699,6.86957,0.01447,0.00038,0.44563,0
173,270.8,14379,1.41,0.3,0.01689,0.00121,-0.00558,6.83387,0.01557,8e-05,0.44484,0
174,272.6,14365,1.45,0.26,0.01768,0.00143,-0.00699,6.80068,0.01488,0.00017,0.44326,0
175,274.2,15128,1.36,0.26,0.01751,0.00195,-0.00657,6.75999,0.01243,0.00017,0.44252,0
176,275.9,14601,1.41,0.27,0.01776,0.00086,-0.01084,6.71978,0.01239,0.00038,0.44026,0
177,277.3,16978,1.18,0.27,0.01532,0.29051,-0.00873,6.66954,0.0152,0.00017,0.43968,0
178,278.7,17078,1.16,0.28,0.01092,0.03872,-0.0102,6.67436,0.015,8e-05,0.44002,0
179,280.4,15206,1.33,0.29,-0.00664,0.02024,-0.00762,6.6813,0.01656,2e-05,0.44027,0
180,282.0,15106,1.33,0.3,0.00602,0.00768,-0.00579,6.6834,0.013,2e-05,0.44031,0
181,283.6,15636,1.29,0.28,0.01447,0.00208,-0.00761,6.6775,0.0104,0.00017,0.43975,0
182,285.2,14865,1.39,0.26,0.01584,0.00116,-0.01012,6.64454,0.01306,0.00038,0.43829,0
183,286.8,15840,1.3,0.25,0.01741,0.00096,-0.01012,6.59017,0.01404,0.00026,0.43647,0
184,288.3,16347,1.24,0.26,0.01759,0.0008,-0.01063,6.51708,0.01524,0.00038,0.43376,0
185,289.8,16384,1.25,0.25,0.01789,0.00101,-0.00806,6.43431,0.01613,0.00038,0.43118,0
186,291.3,15687,1.3,0.27,0.018,0.00068,-0.00918,6.36313,0.01431,0.00038,0.42911,0
187,292.8,16621,1.23,0.25,0.01665,0.5318,-0.00361,6.31501,0.01433,0.00026,0.42876,0
188,294.2,17219,1.13,0.3,0.01634,0.04996,-0.007,6.32495,0.01762,3e-05,0.4291,0
189,295.8,15665,1.24,0.33,-0.00041,0.02606,-0.00662,6.3298,0.01443,2e-05,0.42928,0
190,297.4,15159,1.36,0.26,-0.00072,0.00947,-0.00775,6.33068,0.01207,0.00017,0.42922,0
191,299.0,15393,1.31,0.28,0.01418,0.00729,-0.007,6.32806,0.01832,1e-05,0.42922,0
192,300.6,15966,1.27,0.27,0.0169,0.00387,-0.00528,6.32812,0.01107,5e-05,0.42924,0
193,302.0,16655,1.22,0.25,0.01668,0.00138,-0.00734,6.3211,0.01171,0.00026,0.4287,0
194,303.6,16163,1.26,0.26,0.01739,0.00093,-0.01035,6.27229,0.01483,0.00038,0.42651,0
195,305.1,15739,1.28,0.28,0.01766,0.00134,-0.0064,6.21578,0.01322,0.00017,0.42534,0
196,306.7,15862,1.28,0.27,0.01768,0.00071,-0.0118,6.16743,0.01312,0.00038,0.42309,0
197,308.2,16304,1.23,0.28,0.01768,0.54042,-0.00137,6.10816,0.01295,0.00026,0.42242,0
198,309.5,18696,1.06,0.25,0.01604,0.10069,-0.0129,6.11069,0.01495,0.00017,0.42273,0
199,310.8,18433,1.07,0.27,0.00909,0.03092,-0.00884,6.11965,0.01407,0.00011,0.42298,0
200,312.3,17110,1.19,0.25,-0.00433,0.02792,-0.00903,6.12708,0.01653,1e-05,0.42324,0
201,313.7,17788,1.13,0.25,0.00816,0.0074,-0.00605,6.12985,0.01257,1e-05,0.42329,0
202,315.1,17141,1.18,0.25,0.01628,0.00559,-0.00589,6.13039,0.00955,0.00017,0.4234,0
203,316.5,17430,1.16,0.25,0.01747,0.00209,-0.00673,6.12622,0.01242,0.00011,0.42318,0
204,318.0,17116,1.18,0.26,0.01756,0.00122,-0.00883,6.10518,0.01347,0.00038,0.42241,0
205,319.3,17790,1.13,0.25,0.0177,0.0013,-0.00588,6.07297,0.01503,0.00026,0.42134,0
206,320.8,17408,1.15,0.26,0.01772,0.00107,-0.00956,6.03182,0.01291,0.00026,0.41998,0
