iteration,time_s,fps,collect_s,update_s,reward_per_step,value_loss,surrogate,entropy,kl,lr,std,ep_tracking_lin_vel,ep_tracking_ang_vel,ep_lin_vel_z,ep_ang_vel_xy,ep_orientation,ep_base_height,ep_torques,ep_torque_limits,ep_dof_vel,ep_dof_acc,ep_action_rate,ep_dof_pos_limits,ep_alive,ep_hip_pos,ep_contact,ep_feet_swing_height,ep_contact_no_vel,ep_stand_still,ep_termination,ep_length_s,unstable_resets
1532,63.9,14398,1.38,0.33,0.02683,0.05161,-0.00821,-0.79695,0.01156,3e-05,0.27074,0.69621,0.32217,-0.02938,-0.01969,-0.01437,-0.00444,-0.02136,-0.00223,-0.01997,-0.01166,-0.02322,-0.00302,0.11835,-0.01734,0.25536,-0.01998,-0.01125,0.0,-0.2,15.78,0
1533,65.6,14536,1.35,0.34,0.02822,0.01415,-0.00756,-0.78743,0.01333,0.00011,0.27101,0.53017,0.25049,-0.02414,-0.01573,-0.01271,-0.00385,-0.0168,-0.0017,-0.01678,-0.00961,-0.01866,-0.00367,0.0936,-0.01806,0.19408,-0.01493,-0.01028,-0.02035,-0.2,12.48,0
1534,67.3,14207,1.37,0.36,0.02854,0.00728,-0.00426,-0.77352,0.01435,5e-05,0.27125,0.53785,0.25739,-0.01595,-0.01549,-0.01276,-0.00365,-0.01772,-0.00184,-0.01775,-0.01013,-0.01929,-0.00205,0.09693,-0.01816,0.20072,-0.01431,-0.01229,-0.02204,-0.2,12.924,0
1535,69.2,12591,1.6,0.35,0.03044,0.00432,-0.00469,-0.76438,0.01226,8e-05,0.27142,0.68638,0.33966,-0.01931,-0.01842,-0.01629,-0.00363,-0.02441,-0.00294,-0.02392,-0.01371,-0.02617,-0.00157,0.12847,-0.0197,0.26703,-0.01748,-0.01692,0.0,-0.2,17.13,0
1536,71.0,13878,1.42,0.35,0.03169,0.00076,-0.00706,-0.76182,0.0144,0.00017,0.27134,,,,,,,,,,,,,,,,,,,,,0
1537,72.8,13846,1.44,0.34,0.03175,0.00052,-0.00732,-0.77007,0.0141,0.00017,0.27107,0.71102,0.35347,-0.02481,-0.02141,-0.01692,-0.0046,-0.02545,-0.00225,-0.02252,-0.01443,-0.02608,-0.00334,0.13485,-0.02205,0.27126,-0.0223,-0.00901,-0.20798,-0.2,17.98,0
1538,74.5,14500,1.36,0.34,0.03174,0.00048,-0.009,-0.78657,0.0143,0.00011,0.27069,0.77535,0.38424,-0.04533,-0.01676,-0.01866,-0.0048,-0.02513,-0.00349,-0.01817,-0.01265,-0.02594,-0.00457,0.1374,-0.01088,0.27936,-0.03216,-0.00773,-0.34091,-0.2,18.32,0
1539,76.2,14230,1.37,0.35,0.03179,0.00089,-0.00538,-0.79934,0.01233,0.00011,0.27046,,,,,,,,,,,,,,,,,,,,,0
1540,77.9,14419,1.36,0.34,0.03147,0.00069,-0.00627,-0.81179,0.01268,0.00011,0.27017,,,,,,,,,,,,,,,,,,,,,0
1541,79.7,14116,1.38,0.36,0.02983,0.03515,-0.00513,-0.81718,0.01673,5e-05,0.27026,0.89066,0.40764,-0.0189,-0.01888,-0.00968,-0.0013,-0.02642,-0.00173,-0.02697,-0.01548,-0.02956,-0.00101,0.15,-0.02086,0.3202,-0.02159,-0.01589,-0.03706,0.0,20.0,0
